user_id,action,action_type,action_detail,device_type,secs_elapsed
osr2jwljor,lookup,,,Windows Desktop,319.0
osr2jwljor,search_results,click,view_search_results,Windows Desktop,67753.0
osr2jwljor,lookup,,,Windows Desktop,301.0
lsw9q7uk0j,search_results,click,view_search_results,Windows Desktop,22141.0
lsw9q7uk0j,lookup,,,Windows Desktop,435.0
lsw9q7uk0j,search_results,click,view_search_results,Windows Desktop,7703.0
a1vcnhxeij,lookup,,,Windows Desktop,115.0
a1vcnhxeij,personalize,data,wishlist_content_update,Windows Desktop,831.0
a1vcnhxeij,index,view,view_search_results,Windows Desktop,20842.0
a1vcnhxeij,lookup,,,Windows Desktop,683.0
yuuqmid2rp,search_results,click,view_search_results,Windows Desktop,59274.0
yuuqmid2rp,lookup,,,Windows Desktop,95.0
yuuqmid2rp,personalize,data,wishlist_content_update,Windows Desktop,1399.0
yuuqmid2rp,index,view,view_search_results,Windows Desktop,74886.0
yuuqmid2rp,similar_listings,data,similar_listings,Windows Desktop,255.0
yuuqmid2rp,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,8134.0
yuuqmid2rp,similar_listings,data,similar_listings,Windows Desktop,183.0
yuuqmid2rp,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,175570.0
k6np330cm1,show,,,Windows Desktop,86.0
k6np330cm1,personalize,data,wishlist_content_update,Windows Desktop,1535.0
k6np330cm1,show,view,p3,Windows Desktop,83251.0
k6np330cm1,lookup,,,Windows Desktop,360.0
k6np330cm1,search_results,click,view_search_results,Windows Desktop,2488.0
k6np330cm1,lookup,,,Windows Desktop,456.0
k6np330cm1,search_results,click,view_search_results,Windows Desktop,10053.0
frhre329au,personalize,data,wishlist_content_update,Windows Desktop,50.0
frhre329au,lookup,,,Windows Desktop,1996.0
frhre329au,index,view,view_search_results,Windows Desktop,82263.0
frhre329au,show,,,Windows Desktop,102.0
frhre329au,personalize,data,wishlist_content_update,Windows Desktop,673.0
gdka1q5ktd,show,view,p3,Windows Desktop,2959.0
gdka1q5ktd,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,982.0
gdka1q5ktd,show,,,Windows Desktop,39.0
gdka1q5ktd,personalize,data,wishlist_content_update,Windows Desktop,808.0
qdubonn3uk,show,view,p3,Windows Desktop,6417.0
qdubonn3uk,ajax_refresh_subtotal,click,change_trip_characteristics,Windows Desktop,1013.0